what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1510888637058
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1510888637154
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.551.v201409041522,"org.eclipse.jst.ws.jaxrs.core",1510888637170
started,bundle,org.eclipse.m2e.launching,1.7.0.20160603-1933,"org.eclipse.m2e.launching",1510888637434
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888640056
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888783432
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1510888787601
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888793451
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888797981
opened,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888800723
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888800787
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888801889
closed,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888801905
closed,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888806364
activated,view,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.PackageExplorer",1510888807355
opened,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888807534
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888807578
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1510888811756
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888830788
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1510888836445
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888836976
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888838994
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888863977
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888872042
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888915784
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888917545
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510888920978
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510888922269
activated,view,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.PackageExplorer",1510888922751
opened,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888922971
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888923034
executed,command,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1510888929229
executed,command,org.eclipse.ui,3.106.0.v20140519-0906,"org.eclipse.ui.file.save",1510888930831
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1510888931400
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1510888932320
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888937007
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20131115-1210,"org.eclipse.equinox.p2.garbagecollector",1510888937093
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888956719
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510888960612
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510889380087
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510889381830
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890032279
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890037934
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890040834
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890043712
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1510890111858
